,R0,Sero_peak
966,1.966,26.308
967,1.967,26.3135
968,1.968,26.3187
969,1.969,26.3237
970,1.97,26.3412
971,1.971,26.3458
972,1.972,26.3501
973,1.973,26.3542
974,1.974,26.3581
975,1.975,26.3617
976,1.976,26.378
977,1.977,26.3812
978,1.978,26.3841
979,1.979,26.3868
980,1.98,26.4022
981,1.981,26.4045
982,1.982,26.4065
983,1.983,26.4213
984,1.984,26.4229
985,1.985,26.4242
986,1.986,26.4384
987,1.987,26.4393
988,1.988,26.453
989,1.989,26.4534
990,1.99,26.4536
991,1.991,26.4667
992,1.992,26.4665
993,1.993,26.4791
994,1.994,26.4784
995,1.995,26.4906
996,1.996,26.4895
997,1.997,26.5013
998,1.998,26.5129
999,1.999,26.5111
1000,2.0,26.5222
1001,2.001,26.5199
1002,2.002,26.5307
1003,2.003,26.5412
1004,2.004,26.5383
1005,2.005,26.5484
1006,2.006,26.5583
1007,2.007,26.5547
1008,2.008,26.5642
1009,2.009,26.5735
1010,2.01,26.5826
1011,2.011,26.578
1012,2.012,26.5867
1013,2.013,26.5951
1014,2.014,26.6034
1015,2.015,26.6114
1016,2.016,26.6058
1017,2.017,26.6134
1018,2.018,26.6208
1019,2.019,26.628
1020,2.02,26.635
1021,2.021,26.6417
1022,2.022,26.6483
1023,2.023,26.6547
1024,2.024,26.6609
1025,2.025,26.6668
1026,2.026,26.6726
1027,2.027,26.6781
1028,2.028,26.6835
1029,2.029,26.6886
1030,2.03,26.6935
1031,2.031,26.6982
1032,2.032,26.7027
1033,2.033,26.707
1034,2.034,26.7111
1035,2.035,26.715
1036,2.036,26.7187
1037,2.037,26.7222
1038,2.038,26.7254
1039,2.039,26.7423
1040,2.04,26.7452
1041,2.041,26.7478
1042,2.042,26.7503
1043,2.043,26.7525
1044,2.044,26.7685
1045,2.045,26.7703
1046,2.046,26.7719
1047,2.047,26.7734
1048,2.048,26.7885
1049,2.049,26.7896
1050,2.05,26.7904
1051,2.051,26.805
1052,2.052,26.8054
1053,2.053,26.8056
1054,2.054,26.8196
1055,2.055,26.8194
1056,2.056,26.819
1057,2.057,26.8325
1058,2.058,26.8317
1059,2.059,26.8448
1060,2.06,26.8436
1061,2.061,26.8421
1062,2.062,26.8547
1063,2.063,26.8528
1064,2.064,26.865
1065,2.065,26.8628
1066,2.066,26.8746
1067,2.067,26.8719
1068,2.068,26.8833
1069,2.069,26.8803
1070,2.07,26.8913
1071,2.071,26.9022
1072,2.072,26.8985
1073,2.073,26.909
1074,2.074,26.905
1075,2.075,26.9151
1076,2.076,26.925
1077,2.077,26.9204
1078,2.078,26.9299
1079,2.079,26.9393
1080,2.08,26.934
1081,2.081,26.943
1082,2.082,26.9518
1083,2.083,26.9605
1084,2.084,26.9544
1085,2.085,26.9627
1086,2.086,26.9707
1087,2.087,26.9786
1088,2.088,26.9718
1089,2.089,26.9793
1090,2.09,26.9867
1091,2.091,26.9938
1092,2.092,27.0008
1093,2.093,26.9929
1094,2.094,26.9995
1095,2.095,27.006
1096,2.096,27.0122
1097,2.097,27.0182
1098,2.098,27.0241
1099,2.099,27.0298
1100,2.1,27.0353
1101,2.101,27.0406
1102,2.102,27.0458
1103,2.103,27.0359
1104,2.104,27.0407
1105,2.105,27.0453
1106,2.106,27.0497
1107,2.107,27.0539
1108,2.108,27.0579
1109,2.109,27.0618
1110,2.11,27.0804
1111,2.111,27.0839
1112,2.112,27.0872
1113,2.113,27.0903
1114,2.114,27.0933
1115,2.115,27.096
1116,2.116,27.0986
1117,2.117,27.1011
1118,2.118,27.1033
1119,2.119,27.1053
1120,2.12,27.1222
1121,2.121,27.1239
1122,2.122,27.1254
1123,2.123,27.1267
1124,2.124,27.1279
1125,2.125,27.1289
1126,2.126,27.1447
1127,2.127,27.1454
1128,2.128,27.1458
1129,2.129,27.146
1130,2.13,27.1613
1131,2.131,27.1612
1132,2.132,27.1609
1133,2.133,27.1604
1134,2.134,27.175
1135,2.135,27.1742
1136,2.136,27.1731
1137,2.137,27.1872
1138,2.138,27.1859
1139,2.139,27.1843
1140,2.14,27.1979
1141,2.141,27.196
1142,2.142,27.2093
1143,2.143,27.2071
1144,2.144,27.2046
1145,2.145,27.2174
1146,2.146,27.2146
1147,2.147,27.2271
1148,2.148,27.2239
1149,2.149,27.2361
1150,2.15,27.2326
1151,2.151,27.2444
1152,2.152,27.2405
1153,2.153,27.2365
1154,2.154,27.2478
1155,2.155,27.259
1156,2.156,27.2544
1157,2.157,27.2653
1158,2.158,27.2604
1159,2.159,27.2709
1160,2.16,27.2656
1161,2.161,27.2758
1162,2.162,27.2702
1163,2.163,27.2801
1164,2.164,27.2898
1165,2.165,27.2836
1166,2.166,27.293
1167,2.167,27.3022
1168,2.168,27.2956
1169,2.169,27.3045
1170,2.17,27.3132
1171,2.171,27.306
1172,2.172,27.3144
1173,2.173,27.3227
1174,2.174,27.315
1175,2.175,27.3229
1176,2.176,27.3307
1177,2.177,27.3225
1178,2.178,27.3299
1179,2.179,27.3372
1180,2.18,27.3444
1181,2.181,27.3514
1182,2.182,27.3423
1183,2.183,27.3489
1184,2.184,27.3555
1185,2.185,27.3618
1186,2.186,27.368
1187,2.187,27.358
1188,2.188,27.3639
1189,2.189,27.3696
1190,2.19,27.3752
1191,2.191,27.3806
1192,2.192,27.3858
1193,2.193,27.3909
1194,2.194,27.3797
1195,2.195,27.3845
1196,2.196,27.3891
1197,2.197,27.3936
1198,2.198,27.3978
1199,2.199,27.402
1200,2.2,27.406
1201,2.201,27.4098
1202,2.202,27.4135
1203,2.203,27.417
1204,2.204,27.4203
1205,2.205,27.4235
1206,2.206,27.4266
1207,2.207,27.4294
1208,2.208,27.4322
1209,2.209,27.4347
1210,2.21,27.4372
1211,2.211,27.4394
1212,2.212,27.4415
1213,2.213,27.4435
1214,2.214,27.4453
1215,2.215,27.4469
1216,2.216,27.4484
1217,2.217,27.4661
1218,2.218,27.4673
1219,2.219,27.4683
1220,2.22,27.4692
1221,2.221,27.4699
1222,2.222,27.4704
1223,2.223,27.4708
1224,2.224,27.4876
1225,2.225,27.4877
1226,2.226,27.4876
1227,2.227,27.4874
1228,2.228,27.487
1229,2.229,27.4865
1230,2.23,27.5024
1231,2.231,27.5016
1232,2.232,27.5006
1233,2.233,27.4994
1234,2.234,27.5148
1235,2.235,27.5133
1236,2.236,27.5117
1237,2.237,27.51
1238,2.238,27.5248
1239,2.239,27.5227
1240,2.24,27.5205
1241,2.241,27.5349
1242,2.242,27.5324
1243,2.243,27.5297
1244,2.244,27.5437
1245,2.245,27.5407
1246,2.246,27.5376
1247,2.247,27.5511
1248,2.248,27.5477
1249,2.249,27.5441
1250,2.25,27.5573
1251,2.251,27.5534
1252,2.252,27.5662
1253,2.253,27.5621
1254,2.254,27.5577
1255,2.255,27.5702
